customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5392-ZAWDF,Female,0,No,No,2,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),55.25,52.32,No
5562-UOUJG,Male,0,No,Yes,34,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,83.31,2838.89,Yes
7955-WAGWJ,Male,0,Yes,Yes,46,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),97.52,4407.23,No
8748-QVSCG,Male,0,Yes,Yes,0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,75.64, ,Yes
5223-YGHOY,Male,1,Yes,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,34.13,44.42,No
6200-XKKNM,Male,0,Yes,No,70,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,89.08,6267.42,No
8356-QZFOO,Female,0,No,Yes,18,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Mailed check,69.42,1289.13,No
8006-STOUY,Male,0,No,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,29.3,1790.14,No
3729-FJTEZ,Female,0,No,No,57,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,62.64,3587.48,No
5315-UYZYB,Female,0,Yes,No,24,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,93.81,2266.47,No
4258-SNQOB,Female,0,Yes,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),78.73,3873.77,No
3721-TATSY,Female,0,Yes,No,5,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),70.15,439.19,Yes
2914-MYZUN,Female,0,No,Yes,27,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,62.46,1664.44,No
7995-UYSDS,Female,0,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.0,309.55,No
5622-VHCGQ,Male,0,Yes,No,61,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,74.83,4579.32,No
9084-GACSY,Male,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.17,776.77,No
7068-TEBFK,Female,1,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.3,266.34,Yes
2000-WKQHT,Female,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),89.03,3496.92,No
3439-TQKQV,Male,1,Yes,No,41,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,92.28,3823.45,No
1155-ZIZCT,Female,0,Yes,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.17,1170.7,No
5425-GURKL,Male,0,Yes,No,28,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,52.49,1485.63,No
4064-BOOOP,Female,0,No,Yes,54,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),67.93,3657.94,No
7909-ZQXLL,Male,0,Yes,No,67,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),38.24,2570.7,No
2139-NLLUY,Male,0,No,No,29,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),68.64,1966.03,No
7957-ESLDX,Male,1,No,No,36,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),89.3,3276.36,No
1525-BHOLG,Male,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),27.92,236.09,No
6118-WNBSW,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0, ,Yes
4238-MVBFV,Male,0,Yes,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,22.91,1353.54,No
5989-FWZIC,Male,0,No,No,8,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,73.01,583.18,No
9589-RXUCJ,Male,0,Yes,Yes,11,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),98.17,1075.33,Yes
4504-DSHVW,Male,0,No,No,31,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,68.38,2220.67,No
4522-DEPMA,Male,0,No,Yes,26,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),40.87,1128.15,Yes
6707-WVVTF,Male,0,Yes,No,40,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),109.76,4337.36,No
4159-MASME,Male,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.72,69.32,No
1245-YOZRO,Male,0,No,No,0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),79.92, ,Yes
4837-ZNWOF,Male,0,No,No,12,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,112.95,1390.22,No
7706-FNIPR,Male,0,No,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,101.57,6239.53,No
2939-TNNLR,Female,1,Yes,No,13,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,59.04,783.22,Yes
2461-SDHVF,Female,1,No,No,65,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,91.43,5980.57,No
6084-XQANW,Female,0,No,No,2,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Electronic check,95.21,156.05,No
5625-GFZIZ,Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,79.61,338.57,No
4529-UEADM,Female,0,No,Yes,43,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,78.6,3386.71,No
6033-XWPUC,Male,0,No,Yes,41,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),78.31,3301.19,No
1733-SWCIV,Female,0,No,No,34,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),44.21,1480.67,No
9171-FCIJV,Female,0,Yes,No,1,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,113.31,171.05,No
8493-XHVFF,Female,0,Yes,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,29.95,1520.42,No
3242-ZUVYH,Female,1,No,No,70,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,74.76,5296.29,No
6609-YGKIT,Male,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.34,22.44,Yes
9290-WWULU,Female,1,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),73.54,103.12,Yes
6904-WNRWY,Female,0,No,No,5,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,77.13,386.76,Yes
5836-NYNHB,Male,0,Yes,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),29.39,1594.6,No
7649-PHGEQ,Female,0,No,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),25.48,835.57,No
3879-FDKRF,Male,0,Yes,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,42.25,1166.67,No
8804-KHALP,Female,0,Yes,No,29,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,69.96,1933.61,No
8648-RHPAE,Female,0,No,No,64,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),67.4,4334.04,No
1053-JPVDU,Male,0,Yes,No,42,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,99.7,4220.67,Yes
7947-VMWIZ,Female,0,No,Yes,69,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,78.53,5491.4,No
1664-LYDOY,Male,0,No,No,48,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,57.56,2747.88,Yes
8457-GXYHH,Female,0,Yes,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.88,465.83,No
8632-YCSDU,Female,0,No,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),28.17,1835.22,No
3866-QYDPI,Female,0,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),63.63,73.47,Yes
3297-XMUIY,Female,0,No,Yes,32,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,72.23,2433.46,Yes
6805-CQYVH,Male,0,No,Yes,1,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),99.47,127.2,No
5611-FKSZA,Male,0,Yes,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,29.64,127.93,No
1553-ZBMON,Male,1,Yes,Yes,45,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,76.97,3470.1,No
6202-PDITH,Male,0,Yes,Yes,32,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,44.09,1371.91,No
3836-BJSKT,Male,0,No,Yes,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,36.4,0.0,No
5895-EZCYI,Male,0,Yes,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.83,1029.17,No
2150-URCGM,Male,1,Yes,No,70,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Mailed check,60.7,4104.71,No
5908-YDAWF,Male,0,No,No,0,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Electronic check,64.85, ,No
7246-OKOXT,Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,86.65,499.07,No
2103-CFZRE,Male,0,No,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,38.79,96.36,No
3777-LHHYK,Female,0,Yes,No,26,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),87.6,2232.07,Yes
6391-FGKUG,Male,1,Yes,No,19,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,82.99,1537.24,No
5939-BITJI,Male,0,Yes,Yes,45,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,81.07,3620.49,No
5492-PUZVR,Male,0,Yes,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,318.98,Yes
3654-FOGAE,Male,0,No,No,20,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,52.3,1022.24,No
8299-GETRJ,Male,0,Yes,No,44,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.19,4421.94,No
1691-YSVQJ,Male,0,No,No,0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Electronic check,53.77, ,No
3845-QOGRU,Male,1,No,Yes,20,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),58.43,1254.82,Yes
3347-HXLXC,Male,1,Yes,Yes,68,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,98.02,6685.13,No
9100-YOFKP,Female,0,No,Yes,68,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),72.26,4977.41,No
7596-EFYUX,Male,0,No,No,27,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.71,516.68,No
7293-ZKJXN,Female,1,Yes,No,53,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),86.34,4545.42,No
3168-XJDZB,Male,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.27,649.72,No
9241-ZDDTI,Female,0,Yes,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,63.82,67.19,Yes
9246-FPMWM,Female,0,No,No,24,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,69.97,1645.49,No
5608-LOAMO,Female,0,Yes,Yes,28,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,81.41,2224.19,Yes
7237-AHRQD,Female,0,No,No,69,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,53.76,3753.87,No
2756-FPZCA,Male,1,No,Yes,71,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),97.19,6954.47,No
5429-DFNVH,Female,0,No,No,56,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),76.88,4283.67,No
9704-WQCUG,Male,0,No,No,4,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Mailed check,58.28,198.7,No
3494-URJLA,Female,0,Yes,No,0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),90.93, ,No
6098-NWWKO,Female,0,No,No,9,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Credit card (automatic),99.77,899.33,No
5494-MSEXO,Male,0,Yes,No,33,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),75.62,2496.98,No
5284-EUJTK,Female,0,Yes,Yes,3,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,No,Electronic check,76.08,147.22,Yes
8347-JYDRY,Male,1,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.98,13.12,Yes
1667-RPWJI,Female,0,No,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,29.73,1677.6,No
8002-NIFPC,Female,0,No,Yes,25,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),69.08,1692.22,No
6058-MJWJB,Male,0,Yes,Yes,3,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),116.16,328.89,No
4677-PEFTE,Female,0,No,No,56,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),79.1,4420.75,No
4867-JUEEP,Female,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,35.92,1144.63,No
1778-SZMTU,Male,1,Yes,No,40,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,69.1,2799.97,No
1355-YRLBC,Female,0,Yes,No,26,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),113.2,3003.01,Yes
2305-VGESO,Male,0,No,Yes,8,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,No,Credit card (automatic),56.78,430.48,No
8461-YQHCL,Female,0,No,Yes,35,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,68.37,2272.63,No
8904-XXKFX,Male,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,35.55,75.62,No
9190-ALXZD,Female,0,No,Yes,47,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),85.51,4025.95,No
4937-OGEFW,Female,0,Yes,No,10,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),43.83,419.05,Yes
7105-TFRCQ,Male,0,No,No,39,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),96.99,3871.02,No
3446-BJYHL,Male,0,Yes,No,9,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),97.84,883.96,No
8149-OKKDQ,Female,0,Yes,Yes,55,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,No,Credit card (automatic),50.64,2731.56,No
5783-FLLBR,Female,0,Yes,No,43,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),105.23,4535.89,No
9242-QPMMU,Male,0,No,No,2,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,46.59,179.8,No
4955-HESGZ,Male,0,Yes,Yes,1,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),96.11,49.35,Yes
3511-RYEXC,Male,0,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),27.69,670.88,No
5290-ANDBE,Female,0,Yes,No,45,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),87.29,3993.02,No
7646-ZIJTU,Male,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),21.8,587.19,Yes
5069-UDPVO,Female,0,Yes,Yes,44,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),61.89,2719.8,No
4424-ORHFO,Male,0,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),26.53,634.42,No
9397-WQCQM,Female,1,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,87.41,6252.97,No
9521-VAQMX,Male,0,No,Yes,24,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,108.05,2654.4,No
7810-ZZWXB,Male,0,Yes,No,30,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),61.81,1961.87,No
9104-SRTVB,Female,1,Yes,Yes,0,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),89.72, ,Yes
8678-ZVNWL,Female,0,No,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),33.17,1998.67,No
6464-THDQC,Male,0,No,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.03,1443.23,No
4882-MTYYF,Male,1,No,Yes,67,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),67.56,4537.12,No
2605-ZUOJA,Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,84.23,133.68,Yes
8759-FQCJN,Male,0,No,Yes,2,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),62.33,164.7,No
4244-JLSNQ,Male,0,No,Yes,1,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,49.99,36.39,No
6705-BXQWG,Female,1,No,Yes,29,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),76.53,2120.92,No
5017-OGVDI,Male,1,No,No,58,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.2,5215.62,No
8878-MHOTL,Female,1,No,Yes,0,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,68.83, ,Yes
2948-DGGDW,Male,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,31.86,108.74,Yes
4901-XLAPR,Male,0,Yes,No,9,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Electronic check,95.2,930.43,No
4969-SMINC,Female,1,No,No,56,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,66.61,3702.86,No
1504-NMWHO,Male,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),101.37,901.34,Yes
4381-TTEGP,Female,0,No,No,7,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,56.25,359.86,Yes
1275-OHSLF,Male,0,Yes,No,3,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,85.42,209.97,Yes
1823-AMAQR,Female,1,Yes,No,1,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),75.29,60.23,No
1040-BXDUK,Female,0,No,No,65,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Electronic check,56.38,3699.95,No
8479-TUAFZ,Female,0,No,No,48,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),79.78,3828.81,No
5771-JVSNB,Male,1,Yes,No,24,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Mailed check,52.68,1173.06,No
3599-FUGYL,Male,1,No,No,2,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),51.67,48.37,No
8249-GSXVQ,Male,1,Yes,No,53,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,71.07,3701.88,No
4022-CUUCH,Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.87,296.36,No
9980-SFNEX,Male,0,No,Yes,62,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),80.03,4931.54,No
3132-BGEDN,Male,0,No,Yes,26,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Credit card (automatic),71.88,1886.8,No
8214-KFXQA,Male,0,Yes,No,41,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,No,Electronic check,62.16,2524.73,No
6263-LJPIP,Male,1,Yes,No,45,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,62.12,2732.37,No
2743-AKNUP,Male,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.62,613.5,No
4737-OIYHY,Male,0,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),77.15,661.26,Yes
4373-CIMWE,Male,0,No,No,8,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),57.21,487.91,Yes
1594-JWEJF,Female,0,No,No,25,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),91.49,2370.84,No
4894-ODREI,Male,1,No,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,62.93,3388.29,No
5337-EUWJO,Male,0,Yes,No,40,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,97.9,3973.91,Yes
2023-TMJYM,Female,0,Yes,No,24,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,45.24,1036.36,No
2124-KYBPK,Female,0,No,No,33,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),61.43,1947.4,Yes
5195-KIOSS,Male,0,No,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),76.97,1857.96,No
3442-IDSJO,Female,0,Yes,No,19,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),74.65,1517.98,No
7219-IMCMT,Female,1,No,Yes,45,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),62.13,2782.97,No
5178-NOXTN,Female,0,No,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.18,1424.42,No
7779-QWYGD,Female,0,Yes,Yes,53,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,48.84,2621.64,No
2802-XTTJK,Female,0,Yes,No,25,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),92.36,2299.11,Yes
2772-LENZK,Male,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),22.37,1142.4,No
8904-RHFNL,Male,0,Yes,No,47,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),92.42,4380.01,No
8787-BSNUY,Female,0,Yes,No,7,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),108.61,680.46,No
7446-NRSAU,Female,0,No,No,14,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Electronic check,62.88,942.09,No
8827-LRATR,Male,0,No,Yes,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,102.79,5991.55,No
3391-VYYSZ,Male,1,Yes,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),35.44,91.26,Yes
5822-RDXIA,Female,1,Yes,Yes,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,69.01,213.36,No
7950-NGGEC,Male,0,No,Yes,4,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.71,257.49,Yes
